1,0,2024-03-16 09:30:00,5,"Excellent seller! Fast shipping and item as described."
1,2,2024-03-25 14:30:00,4,"Good experience overall. Fast shipping and product as described."
1,3,2024-04-02 11:15:00,5,"Excellent seller! Great communication and top-notch service."
1,4,2024-04-10 16:45:00,3,"Average experience. Product quality was okay, but shipping took longer than expected."
1,5,2024-04-18 09:20:00,5,"Fantastic seller! Quick responses and went above and beyond with customer service."
2,0,2024-03-17 14:45:00,4,"Good experience overall. Communication could be better."
3,1,2024-03-18 11:20:00,5,"Amazing service! Will definitely buy from again."
4,1,2024-03-19 16:10:00,4,"Product arrived in good condition. Shipping was a bit slow."
5,2,2024-03-20 10:15:00,5,"Top-notch seller. Quick responses and great product."
6,2,2024-03-21 15:30:00,3,"Average experience. Product quality was less than expected."
7,3,2024-03-22 12:45:00,5,"Fantastic seller! Went above and beyond with customer service."
8,3,2024-03-23 09:20:00,4,"Good seller. Minor delay in shipping but kept me informed."
9,4,2024-03-24 14:55:00,5,"Excellent communication and fast shipping. Highly recommend!"
10,4,2024-03-25 11:40:00,4,"Reliable seller. Product as described."
11,5,2024-03-26 16:30:00,5,"Great experience! Quick shipping and excellent packaging."
12,5,2024-03-27 10:15:00,4,"Good seller. Slight mixup with order but quickly resolved."
13,0,2024-03-28 15:50:00,5,"Impressive service! Will definitely shop here again."
14,1,2024-03-29 12:25:00,4,"Solid experience. Fair prices and good communication."
15,2,2024-03-30 09:05:00,5,"Exceptional seller! Fast shipping and great product quality."
16,3,2024-03-31 14:40:00,3,"Decent experience. Product arrived later than expected."
17,4,2024-04-01 11:30:00,5,"Outstanding seller! Prompt responses and excellent service."
18,5,2024-04-02 16:20:00,4,"Good overall experience. Minor issue with packaging."
19,0,2024-04-03 10:10:00,5,"Fantastic seller! Great prices and fast shipping."
20,1,2024-04-04 15:45:00,4,"Reliable seller. Product matched the description perfectly."
21,2,2024-04-05 12:30:00,5,"Excellent experience! Seller went above and beyond."
22,3,2024-04-06 09:15:00,4,"Good seller. Shipping was prompt but packaging could be improved."
23,4,2024-04-07 14:50:00,5,"Top-tier seller! Great communication and fast delivery."
24,5,2024-04-08 11:25:00,4,"Positive experience overall. Would buy from again."
25,0,2024-04-09 16:40:00,5,"Impressive service and quality. Highly recommended seller!"
26,1,2024-04-10 10:35:00,4,"Good transaction. Product arrived in perfect condition."
27,2,2024-04-11 15:20:00,5,"Excellent seller! Quick responses and hassle-free purchase."
28,3,2024-04-12 12:05:00,3,"Average experience. Delivery took longer than expected."
29,4,2024-04-13 09:50:00,5,"Great seller! Fair prices and excellent customer service."
30,5,2024-04-14 14:30:00,4,"Reliable seller. Minor delay but kept me informed throughout."
